year,wind_10m,specific_humidity,LW_down,SW_down,rainfall,snowfall,sosaline,sst,t2m,surface_pressure,sea_ice_extent
1979,5.07764436008,2.2186609068,237.496930987,96.3341405121,1.34656030348,0.708850455384,33.252386686,274.359519037,263.531547888,981.987059624,558759.526027
1980,5.12035469598,2.24572223238,239.288258002,96.7264624258,1.28481260901,0.695901082754,33.2624446269,274.489488734,264.163376318,982.866137775,599278.672131
1981,5.18837263329,2.30066813121,243.10725419,96.0785862231,1.39369025965,0.760158703934,33.246004309,274.362806541,264.9626159,981.639004458,362687.421918
1982,5.14519611619,2.19611371294,237.620652913,97.6214561321,1.36295246215,0.738999105871,33.2725036855,274.287459753,263.673479885,981.125526797,677983.336986
1983,5.1493238366,2.25670862223,239.649381335,95.5586588246,1.38890119862,0.746473753378,33.2568136086,274.272713945,264.209898575,980.73747234,564530.0
1984,5.07795982319,2.31072119696,240.476172689,95.9342679395,1.35578968962,0.705616239407,33.2509905375,274.487479865,264.225651158,981.957336718,178588.161202
1985,5.10601073719,2.24658487007,239.735740194,97.4861668954,1.32885385052,0.708993115844,33.2793169404,274.490609234,264.244291389,983.116039664,225190.331507
1986,5.08940166508,2.23094571495,238.941660429,96.7665982663,1.37391968818,0.734092837485,33.2626966075,274.423308749,264.025564132,980.516354467,436031.178082
1987,5.08566508958,2.21341368027,237.911937344,97.2298110113,1.29748581708,0.695290340542,33.2559286964,274.470272926,263.559406696,982.189275974,417882.394521
1988,5.1521761103,2.30993881492,240.604584132,96.7030064076,1.36251145713,0.715414578109,33.2607520352,274.449266145,264.322114802,980.516751798,234259.724044
1989,5.19839519658,2.32386943885,240.515890444,96.1583454456,1.4542101133,0.768139675268,33.28138279,274.453082336,264.272074768,978.919569516,199793.079452
1990,5.24390187438,2.34269211687,241.379628253,96.5768757254,1.42293160572,0.758295890099,33.2762004163,274.626077574,264.547620379,978.851135741,-73191.9013699
1991,5.216939495,2.36875737163,241.812321298,97.3941660408,1.38028956256,0.720040236734,33.2574668249,274.632036756,264.659586643,980.484647582,-17790.7863014
1992,5.21396972413,2.16499432592,237.35598695,96.996971028,1.37489274786,0.792355261238,33.2675643392,274.407922513,263.767849433,979.691585136,375587.062842
1993,5.25534905848,2.26808807337,239.848114309,96.1985088472,1.37561586232,0.7594455548,33.283145359,274.427324061,264.258798562,980.618911396,156005.0
1994,5.1845976101,2.25860288448,238.653946292,97.338745222,1.34919384697,0.715230741236,33.2525574145,274.445087279,264.084501842,979.991434077,244304.830137
1995,5.17594057536,2.37560027529,243.726293524,95.3482224088,1.38297512742,0.715496663427,33.2616757215,274.576912171,265.224018531,981.336322299,-351906.736986
1996,5.18412177239,2.23652449365,241.1998022,97.4884138296,1.36046390461,0.75427682897,33.2497512967,274.53272203,264.68317255,982.530386255,105902.874317
1997,5.18630292413,2.30402173223,240.911297155,96.4000927533,1.3648700023,0.720018887274,33.235631799,274.626275225,264.570945049,980.539197044,-99427.5506849
1998,5.10677603993,2.33171107157,241.301846704,96.1994941917,1.3688393109,0.686686762474,33.2167047127,274.665273032,264.493982564,981.872717124,-9624.16164384
1999,5.04140497138,2.25518175004,239.552219635,96.6536433049,1.3284139017,0.688460578767,33.2333873416,274.607970436,264.180945171,981.264791068,-75556.8684932
2000,5.14461076227,2.30303408334,241.038647742,97.507538184,1.3663148298,0.715395290063,33.2549817708,274.672441565,264.714409323,981.48398671,-226726.204918
2001,5.1127225351,2.32828712464,241.590533974,97.8245919094,1.35488446602,0.713958854652,33.2821967677,274.770469437,264.796012942,981.36489849,-167030.10411
2002,5.13263263158,2.35398293159,242.34957968,97.6747651782,1.35728638901,0.696449993929,33.2853488632,274.85422781,265.016828171,980.950921857,-404163.030137
2003,5.17276300142,2.41534733209,243.868585644,97.4377569348,1.41621351598,0.727467903123,33.2806580252,275.064054058,265.370511809,980.425545614,-369803.320548
2004,5.09340643338,2.32975608181,241.625950984,96.3569894213,1.36220351082,0.697641756951,33.2600982535,275.00603632,264.558706519,981.995567646,-494450.661202
2005,5.18145764904,2.44223994295,246.852467457,96.037993922,1.41500964471,0.688838738479,33.2344754892,274.91916207,265.869064093,982.214846757,-860053.728767
2006,5.14708941317,2.42393599206,245.44116279,95.7512604526,1.41742122518,0.706688538471,33.2034591001,274.987702399,265.526575358,981.179891396,-994433.153425
2007,5.19600559967,2.46187653873,246.438079043,96.0005929963,1.45513371932,0.70591069183,33.2314636064,275.105908337,265.955126615,980.250979281,-1292935.22192
2008,5.18573366633,2.36210163385,243.956683495,96.5058367603,1.42013520789,0.73906797306,33.2527448578,275.044827239,265.40963033,980.953200999,-757009.980874
2009,5.13294996621,2.34702403518,243.335268614,97.1935167292,1.3302012988,0.672395460907,33.2720536143,275.040775716,265.253897136,982.673530332,-835065.405479
2010,5.13320828611,2.43265220953,246.625657081,95.156471262,1.35896093242,0.664849465005,33.2489236642,275.20733274,265.908941349,983.411174828,-1055644.93973
2011,5.23478247409,2.45612678545,246.686917235,96.0891511586,1.44035462465,0.709074534896,33.2374077508,275.096483596,266.002057253,979.633284801,-1283538.73699
2012,5.1351337277,2.44601435525,246.795786165,94.8977472646,1.40226433077,0.668758061164,33.2341061973,275.162968983,265.942206003,982.447951115,-1328799.04372
2013,5.16941936745,2.37392074043,243.593995532,97.4500051377,1.38968602276,0.714031219197,33.2340528447,274.987376325,265.325938937,981.906740159,-869924.419178
2014,5.18781434625,2.43519780627,246.47538151,96.1508541743,1.41373554176,0.71065243109,33.2273267422,275.165132901,265.851829459,981.169029115,-976535.652055
2015,5.23491747286,2.42380354821,245.905920749,94.9971454844,1.46916102433,0.730661804178,33.2242076953,275.015429448,265.711914416,979.719517534,-1201218.39178
2016,5.17482861895,2.57319883337,250.437543377,96.3198777358,1.41361807208,0.682292434432,33.244094142,275.367081913,266.906987193,981.712484219,-1571412.36612
2017,5.23022710211,2.46407649799,248.548087937,96.1548863172,1.49213729117,0.761673411989,33.2515135527,275.315828558,266.353294365,980.408588758,-1374313.00274
2018,5.16467055468,2.47085024085,247.42796877,96.1978536562,1.44705740938,0.705410673027,33.3998806514,275.225444918,266.016647102,980.987266758,-1411941.83836
