X,Y,r_squared,m,b
wind_10m,specific_humidity,-0.493538789296,0.63463,-0.934049
wind_10m,LW_down,-0.800405860495,24.483048,116.191501
wind_10m,SW_down,-1.58253107299,-2.477169,109.302411
wind_10m,rainfall,0.289645142629,0.58258,-1.621094
wind_10m,snowfall,-0.189558469698,0.312866,-0.896624
wind_10m,sosaline,-1.77788194289,0.011844,33.195752
wind_10m,sst,-1.22463933197,1.328397,267.899219
wind_10m,t2m,-0.641335050586,6.457603,231.588351
wind_10m,surface_pressure,-2.21459896358,-12.769602,1047.070738
wind_10m,sea_ice_extent,-2.34889907857,-4079284.1328,20726310.0736
specific_humidity,wind_10m,-0.668034757024,0.194695,4.703504
specific_humidity,LW_down,0.876657670817,35.226889,160.068588
specific_humidity,SW_down,-2.72524799411,-3.743015,105.281368
specific_humidity,rainfall,0.321758532709,0.329851,0.612623
specific_humidity,snowfall,-1.76221537919,-0.11715,0.991626
specific_humidity,sosaline,-1.06657508837,-0.026072,33.317867
specific_humidity,sst,0.61763863335,3.106784,267.482454
specific_humidity,t2m,0.874914455867,8.693854,244.559541
specific_humidity,surface_pressure,-1.35900926005,-0.610677,982.620055
specific_humidity,sea_ice_extent,-4.51542095101,-6702597.65688,15365429.68
LW_down,wind_10m,-0.550809679379,0.005641,3.791216
LW_down,specific_humidity,0.90487128269,0.026455,-4.07536
LW_down,SW_down,-2.43199379109,-0.109359,123.042204
LW_down,rainfall,0.312093316969,0.00905,-0.810238
LW_down,snowfall,-1.34213473286,-0.002728,1.378955
LW_down,sosaline,-0.70713144798,-0.000907,33.476785
LW_down,sst,0.71825650468,0.086141,253.863091
LW_down,t2m,0.981345924382,0.248133,204.731029
LW_down,surface_pressure,-0.996964221182,0.01371,977.866349
LW_down,sea_ice_extent,-3.94913161346,-187704.258813,45199534.7426
SW_down,wind_10m,-1.11692861466,-0.01085,6.206344
SW_down,specific_humidity,-1.73418097909,-0.053438,7.498036
SW_down,LW_down,-2.2660217014,-2.078961,443.168448
SW_down,rainfall,-1.50551062009,-0.026453,3.937825
SW_down,snowfall,-0.803229320419,0.005079,0.227294
SW_down,sosaline,-1.19873026046,0.01076,32.218295
SW_down,sst,-2.08634025011,-0.119671,286.303542
SW_down,t2m,-2.00838876727,-0.455766,308.895417
SW_down,surface_pressure,-0.788010298299,0.03963,977.365869
SW_down,sea_ice_extent,-0.358079167397,357627.000506,-34838172.3599
rainfall,wind_10m,0.140646948842,0.7505,4.120038
rainfall,specific_humidity,0.265330487014,1.385094,0.422413
rainfall,LW_down,0.0338652293861,50.604833,172.439772
rainfall,SW_down,-2.69770158143,-7.780562,107.294615
rainfall,snowfall,-0.49671892865,0.213478,0.421927
rainfall,sosaline,-1.45597849807,-0.002898,33.260869
rainfall,sst,-0.42067821844,3.847299,269.425976
rainfall,t2m,0.0758595363138,12.329762,247.83326
rainfall,surface_pressure,-2.48456500144,-13.879467,1000.407133
rainfall,sea_ice_extent,-3.76817185189,-9446844.5825,12760002.2372
snowfall,wind_10m,-0.319385412445,0.97698,4.458135
snowfall,specific_humidity,-1.74318333647,-1.192438,3.195632
snowfall,LW_down,-2.01584956172,-36.970112,269.027657
snowfall,SW_down,-1.4399233724,3.62079,93.924569
snowfall,rainfall,-0.372239343586,0.517469,1.013222
snowfall,sosaline,-0.635301929844,0.170275,33.134688
snowfall,sst,-2.81574309327,-4.789901,278.189246
snowfall,t2m,-1.8820487887,-8.892433,271.284
snowfall,surface_pressure,-2.60722711498,-23.37467,997.962035
snowfall,sea_ice_extent,-1.13632281921,8987490.96019,-6767545.49337
sosaline,wind_10m,-5.67676890569,0.033774,4.035897
sosaline,specific_humidity,-3.44749184516,-0.242331,10.399237
sosaline,LW_down,-3.76355778472,-11.224539,615.794988
sosaline,SW_down,-5.44709182607,7.00515,-136.446841
sosaline,rainfall,-3.8795621239,-0.006414,1.597815
sosaline,snowfall,-2.54376263614,0.155489,-4.453574
sosaline,sst,-5.04775863005,-0.550201,293.050507
sosaline,t2m,-3.72034910428,-2.73401,355.828382
sosaline,surface_pressure,-5.20094743992,-3.598191,1100.855537
sosaline,sea_ice_extent,-6.91392116049,2058195.81607,-68768267.7683
sst,wind_10m,-0.463032388974,0.033388,-4.014453
sst,specific_humidity,0.774845959448,0.254534,-67.593769
sst,LW_down,0.784890226727,9.397453,-2339.472243
sst,SW_down,-1.47615299095,-0.686747,285.208027
sst,rainfall,0.227686222129,0.075064,-19.239413
sst,snowfall,-1.26249470591,-0.038554,11.310264
sst,sosaline,-0.654764590899,-0.00485,34.589324
sst,t2m,0.810521243623,2.374442,-387.480105
sst,surface_pressure,-0.571301967033,0.305559,897.238045
sst,sea_ice_extent,-3.14799954558,-2003333.35116,550101818.55
t2m,wind_10m,-0.505204359486,0.023791,-1.143176
t2m,specific_humidity,0.897289047629,0.104404,-25.316932
t2m,LW_down,0.980139788396,3.967828,-808.59071
t2m,SW_down,-2.36566994303,-0.38337,198.078565
t2m,rainfall,0.299448703568,0.035261,-7.956348
t2m,snowfall,-1.38294307332,-0.010491,3.49669
t2m,sosaline,-0.801025171026,-0.003532,34.19259
t2m,sst,0.735780771705,0.348042,182.554936
t2m,surface_pressure,-1.02520655841,0.047991,968.478139
t2m,sea_ice_extent,-4.07710325144,-754622.578209,199583246.082
surface_pressure,wind_10m,-2.24109015056,-0.02834,32.966396
surface_pressure,specific_humidity,-1.12963593734,-0.004418,6.674774
surface_pressure,LW_down,-1.33747249645,0.132066,112.91984
surface_pressure,SW_down,-1.19924528149,0.020081,76.819066
surface_pressure,rainfall,-1.9041337385,-0.023911,24.846189
surface_pressure,snowfall,-2.27907925012,-0.016613,17.017959
surface_pressure,sosaline,-1.60117637456,-0.002801,36.004692
surface_pressure,sst,-1.40896025926,0.026981,248.27929
surface_pressure,t2m,-1.22656517577,0.02891,236.537733
surface_pressure,sea_ice_extent,-1.65073917643,-7724.045603,7259621.39467
sea_ice_extent,wind_10m,-1.13014115426,-0.0,5.151613
sea_ice_extent,specific_humidity,-2.14120585322,-0.0,2.299953
sea_ice_extent,LW_down,-2.65466219908,-5e-06,241.00599
sea_ice_extent,SW_down,-0.0538304729663,0.0,96.672381
sea_ice_extent,rainfall,-1.50704398696,-0.0,1.371032
sea_ice_extent,snowfall,-0.225144509159,0.0,0.722772
sea_ice_extent,sosaline,-1.09433177765,0.0,33.258183
sea_ice_extent,sst,-3.0119054914,-0.0,274.60619
sea_ice_extent,t2m,-2.52147082841,-1e-06,264.527658
sea_ice_extent,surface_pressure,-0.672280051374,-0.0,981.184635
